Id,Title,Authors,Publication,Reference/textbook book?,Editions,Price (MRP),Department (Branch),Course,Semester,Subject,University,Uploader
17,Power Electronics,P. C. Sen,TMH,Reference,2007,415,Instrumentation and control,2013,Semester 4,Industrial Drives,Pune University,Swamini Kulkarni
18,Industrial Hydraulics,"John Pippenger, Tyler Hicks",McGraw Hill Company,Reference,3rd edition,,Instrumentation and control,2012,Semester 5,Control System Components,Pune University,Swamini Kulkarni
19,Introduction to Instrumental Analysis,Robert Broun,McGraw Hill Company,Reference,,695,Instrumentation and control,2012,Semester 5,Instrumental Methods for Chemical Analysis,Pune University,Swamini Kulkarni
20,Principles of Instrumental Analysis,Skoog D. A,Saunders College Publishing,Reference,3rd edition,,Instrumentation and control,2012,Semester 5,Instrumental Methods for Chemical Analysis,Pune University,Swamini Kulkarni
21,The 8051 Microcontroller & Embedded Systems,M. A. Mazidi & J. G. Mazidi & Mckinlay,Pearson Prentice Hall,Reference,2nd edition,685,Instrumentation and control,2012,Semester 5,Embedded System Design,Pune University,Swamini Kulkarni
22,Industrial Electronics,Petruzella,McGraw‐Hill,Reference,,,Instrumentation and control,2012,Semester 5,Control System Components,Pune University,Swamini Kulkarni
23,Pneumatic Instrumentation,Majumdhar,McGraw‐Hill,Reference,,,Instrumentation and control,2012,Semester 5,Control System Components,Pune University,Swamini Kulkarni
24,Process Control,B.G. Liptak,Butterworth‐Heinemann Ltd,Reference,,,Instrumentation and control,2012,Semester 5,Control System Components,Pune University,Swamini Kulkarni
25,Instrument Engineering Hand book,B.G. Liptak,Butterworth‐Heinemann Ltd,Reference,,,Instrumentation and control,2012,Semester 5,Control System Components,Pune University,Swamini Kulkarni
26,Control System Design(Handbook),B. S. Manke,Khanna Publication,Reference,1st edition,320,Instrumentation and control,2012,Semester 5,Control System Design,Pune University,Swamini Kulkarni
27,AVR microcontroller & Embedded System,A. Mazidi,Prentice Hall,Reference,,775,Instrumentation and control,2012,Semester 5,Embedded System Design,Pune University,Swamini Kulkarni
28,Operational Amplifiers,Ramakant Gaikwad,PHI,Reference,3rd edition,325,Instrumentation and control,2013,Semester 3,Linear Integrated Circuits,Pune University,Swamini Kulkarni
29,Operational Amplifiers With Linear Integrated Circuits,William D. Stanley,Pearson Education,Reference,4th edition,,Instrumentation and control,2013,Semester 3,Linear Integrated Circuits,Pune University,Swamini Kulkarni
30,Chemical Process Control,George Stephanopoulos,PHI,Reference,1st edition,350,Instrumentation and control,2013,Semester 5,Instrumental Methods for Chemical Analysis,Pune University,Swamini Kulkarni
31,Electonic Devices,Floyd,Pearson Education,Reference,7th edition,499,Instrumentation and control,2013,Semester 4,Digital Techniques,Pune University,Swamini Kulkarni
32,Modern Digital Electonics,R P Jain,McGraw Hill Company,Reference,3rd edition,,Instrumentation and control,2013,Semester 4,Digital Techniques,Pune University,Swamini Kulkarni
33,Electrical Technology,B H Deshmukh,Nirali Publication,Reference,3rd edition,300,Instrumentation and control,2013,Semester 4,Industrial Drives,Pune University,Swamini Kulkarni
34,Heat transfer,Mishra O.P. and Singhal B.L.,Techmax Publication,Textbook,,445,Mechanical,2012,Semester 5,Heat transfer,Pune University,Aishwarya Awasthi
35,Theory of Machines -II,Anup Goel,Technical Publication,Textbook,,525,Mechanical,2012,Semester 5,Theory of machines - II,Pune University,Aishwarya Awasthi
36,Theory of Machines -II,Sayyed F.B.,Techmax Publication,Textbook,,425,Mechanical,2012,Semester 5,Theory of machines - II,Pune University,Aishwarya Awasthi
37,Engineering Mathematics - III,,Nirali Prakashan,Textbook,,500,Mechanical,2012,Semester 3,Engineering Mathematics - III,Pune University,Aishwarya Awasthi
38,Manufacturing Processes - I,P.R. Arora,Techmax Publication,Textbook,,295,Mechanical,2012,Semester 3,Manufacturing Processes - I,Pune University,Aishwarya Awasthi
39,Thermodynamics,Singhal B.L.,Techmax Publication,Textbook,,450,Mechanical,2012,Semester 3,Thermodynamics,Pune University,Aishwarya Awasthi
40,Fluid Mechanics,Jain Inderjeet M.,Techmax Publication,Textbook,,475,Mechanical,2012,Semester 3,Fluid Mechanics,Pune University,Aishwarya Awasthi
41,Material Science,Deshpande Sunil,Techmax Publication,Textbook,,305,Mechanical,2012,Semester 3,Material Science,Pune University,Aishwarya Awasthi
42,Theory of Machines - I,Sayyed F.B.,Techmax Publication,Textbook,,595,Mechanical,2012,Semester 4,Theory of machines - I,Pune University,Aishwarya Awasthi
43,Engineering Metallurgy,Deshpande Sunil,Techmax Publication,Textbook,,385,Mechanical,2012,Semester 4,Engineering metallurgy,Pune University,Aishwarya Awasthi
44,Applied Thermodynamics,Singhal B.L.,Techmax Publication,Textbook,,425,Mechanical,2012,Semester 4,Applied Thermodynamics,Pune University,Aishwarya Awasthi
45,Strength of Materials,Jain Inderjeet M.,Techmax Publication,Textbook,,565,Mechanical,2012,Semester 4,Strength of Materials,Pune University,Aishwarya Awasthi
46,Electronics and electrical engineering,Katre J.S.,Techmax Publication,Textbook,,495,Mechanical,2012,Semester 4,Electronics and electrical engineering,Pune University,Aishwarya Awasthi
47,Metrology and quality control,Auti A.B,Techmax Publication,Textbook,,345,Mechanical,2012,Semester 5,Metrology and quality control,Pune University,Aishwarya Awasthi
48,Hydraulics and Pneumatics,,Techmax Publication,Textbook,,355,Mechanical,2012,Semester 5,Hydraulics and pneumatics,Pune University,Aishwarya Awasthi
49,Machines Design - II,R.B. Patil,Techmax Publication,Textbook,,575,Mechanical,2012,Semester 6,Machines Design -II,Pune University,Aishwarya Awasthi
50,Turbo machines,Singhal B.L,Techmax Publication,Textbook,,400,Mechanical,2012,Semester 6,Turbo machines,Pune University,Aishwarya Awasthi
51,Mechatronics,Ashok Kumar C.P,Techmax Publication,Textbook,,355,Mechanical,2012,Semester 6,Mechatronics,Pune University,Aishwarya Awasthi
52,Fluid Mechanics,Anup Goel,Technical Publication,Textbook,,440,Mechanical,2012,Semester 3,Fluid Mechanics,Pune University,Aishwarya Awasthi
53,Electronics and electrical engineering,"A. P. Godse, U.A. Bakshi",Technical Publication,Textbook,,280,Mechanical,2012,semester 4,Electronics and electrical engineering,Pune University,Aishwarya Awasthi
54,Strength of Materials,"H.J. SAWANT, ANUP GOEL, A.M.Umrajkar",Technical Publication,Textbook,,499,Mechanical,2012,Semester 4,Strength of Materials,Pune University,Aishwarya Awasthi
55,Engineering metallurgy,Anup Goel,Technical Publication,Textbook,,285,Mechanical,2012,semester 4,Engineering metallurgy,Pune University,Aishwarya Awasthi
56,Theory of machines - I,Anup Goel,Technical Publication,Textbook,,495,Mechanical,2012,Semester 4,Theory of machines - I,Pune University,Aishwarya Awasthi
57,Engineering Mathematics - III,"S.K.Kate, A.R.Tambe, H.R.Bhapkar",Technical Publication,Textbook,,499,Mechanical,2012,Semester 3,Engineering mathematics - III,Pune University,Aishwarya Awasthi
58,Material Science," Anup Goel, S.S.Sabarwal, S.V.Dravid",Technical Publication,Textbook,,340,Mechanical,2012,Semester 3,Material Science,Pune University,Aishwarya Awasthi
59,Manufacturing Processes - I,Anup Goel,Technical Publication,Textbook,,340,Mechanical,2012,Semester 3,Manufacturing Processes - I,Pune University,Aishwarya Awasthi
60,Signals and Systems ,J.S. Katre   R.A.Barapate,Techmax Publication,Textbook,,525,Entc,2012,Semester 3,Signals and Systems,Pune University,Shraddha Babar
61,Digital Electronics,J.S. Katre  U.S. Shah,Techmax Publication,Textbook,,485,Entc,2012,Semester 3,Digital Electronics,Pune University,Shraddha Babar
62,Network Theory,U.A.Bakshi  A.V.Bakshi,Techmax Publication,Textbook,,505,Entc,2012,Semester 3,Network Theory,Pune University,Shraddha Babar
63,Data Structure and Algorithm,Dilip Kumar Sultania,Techmax Publication,Textbook,,525,Entc,2012,Semester 3,Data Structure and Algorithm,Pune University,Shraddha Babar
64,Electronic Device Circuit,J.S. Katre,Techmax Publication,Textbook,,465,Entc,2012,Semester 3,Electronic Device Circuit,Pune University,Shraddha Babar
65,Discrete Mathematics,R. Johnsonbaugh,Pearson Education,Reference,5th edition,,Computer,2012,Semester 3,DISCRETE STRUCTURES,Pune University,Swamini Kulkarni
66,Discrete Mathematics,Semyour Lipschutz & Marc Lipson,McGraw Hill Company,Reference,3rd Special Indian Edition,,Computer,2012,Semester 3,DISCRETE STRUCTURES,Pune University,Swamini Kulkarni
67,Problem Solving and Programming Concepts,Maureen Spankle,,Reference,,,Computer,2012,Semester 3,DATA STRUCTURES & PROBLEM SOLVING,Pune University,Swamini Kulkarni
68,Fundamentals of data structures in C++,"E. Horowitz S. Sahani, D. Mehata",Galgotia Book Source,Reference,,,Computer,2012,Semester 3,DATA STRUCTURES & PROBLEM SOLVING,Pune University,Swamini Kulkarni
69,Data Structures: A pseudo code approach with C++,"R. Gilberg, B. Forouzan",Cengage Learning,Reference,,,Computer,2012,Semester 3,DATA STRUCTURES & PROBLEM SOLVING,Pune University,Swamini Kulkarni
70,The Design of the Unix Operating System,Maurice J. Bach,Pearson Education,Reference,,,Computer,2012,Semester 3,Operating System and Administration,Pune University,Swamini Kulkarni
71,Unix and Linux System Administration Handbook,"Evi Nemeth, Garth Snyder, Tren Hein, Ben Whaley",,Reference,4th edition,,Computer,2012,Semester 3,Operating System and Administration,Pune University,Swamini Kulkarni
72,Assembly Language Step-by-step: Programming with Linux,Jeff Duntemann,,Reference,3rd edition,,Computer,2012,Semester 3,Microprocessor Architecture,Pune University,Swamini Kulkarni
73,Microprocessors & Interfacing,"Douglas Hall,",McGraw Hill Company,Reference,Revised 2nd Edition,,Computer,2012,Semester 4,Microprocessor and Interfacing Techniques,Pune University,Swamini Kulkarni
74,Advanced MSDOS Programming,"Ray Dunkon,",BPB Publication,Reference,2nd edition,,Computer,2012,Semester 4,Microprocessor and Interfacing Techniques,Pune University,Swamini Kulkarni
75,Computer Graphics,"S. Harrington,",McGraw Hill Company,Reference,2nd edition,,Computer,2012,Semester 4,Computer Graphics and Gaming,Pune University,Swamini Kulkarni
76,Procedural Elements for Computer Graphics,"D. Rogers,",McGraw Hill Company,Reference,2nd edition,,Computer,2012,Semester 4,Computer Graphics and Gaming,Pune University,Swamini Kulkarni
77,Computer Graphics – C Version,"D. Hearn, M. Baker",Pearson Education,Reference,2nd edition,,Computer,2012,Semester 4,Computer Graphics and Gaming,Pune University,Swamini Kulkarni
78,"Computer Architecture and Organization,",Jhon P Hays,McGraw Hill Company,Reference,3rd edition,,Computer,2012,Semester 4,COMPUTER ORGANIZATIONS,Pune University,Swamini Kulkarni
79,Computer Organization,"Zaky S, Hamacher",McGraw Hill Company,Reference,5th edition,,Computer,2012,Semester 4,COMPUTER ORGANIZATIONS,Pune University,Swamini Kulkarni
80,Computer Organization,tanenbaum,,Reference,,,Computer,2012,Semester 4,COMPUTER ORGANIZATIONS,Pune University,Swamini Kulkarni
81,Theory Of Computer Science,K.L.P. Mishra & Chandrashekharan,,Reference,,,Computer,2012,Semester 5,Theory of Computation,Pune University,Swamini Kulkarni
82,Introduction to Languages of The Theory Of Computation,Martin,,Reference,,,Computer,2012,Semester 5,Theory of Computation,Pune University,Swamini Kulkarni
83,Theory of Computation,Vivek Kulkarni,Oxford University Press,Reference,,,Computer,2012,Semester 5,Theory of Computation,Pune University,Swamini Kulkarni
84,An Introduction to Operating Systems: Concepts and Practices,Pramod Chandra P. Bhatt,PHI,Reference,4th edition,,Computer,2012,Semester 5,Operating Systems Design,Pune University,Swamini Kulkarni
85,The Design of The Unix Operating system,Maurice J.Bach,PHI,Reference,,,Computer,2012,Semester 5,Operating Systems Design,Pune University,Swamini Kulkarni
86,Operating Systems: A Concept Based Approach,"Dhanajay M. Dhamdhere,",McGraw Hill Company,Reference,3rd edition,,Computer,2012,Semester 5,Operating Systems Design,Pune University,Swamini Kulkarni
87,Computer Networking a Top Down Approach Featuring the Internet,"Kurose, Ross",Pearson,Reference,6th edition,,Computer,2012,Semester 5,Data Communication and Wireless Sensor Networks,Pune University,Swamini Kulkarni
88,Database System concepts,"Abraham Silberschatz ,Henry Korth , S.Sudarshan",McGraw Hill Company,Reference,5th edition,,Computer,2012,Semester 5,Database Management Systems Applications,Pune University,Swamini Kulkarni
89,MongoDB: The Definitive,Kristina Chodorow,,Reference,,,Computer,2012,Semester 5,Database Management Systems Applications,Pune University,Swamini Kulkarni
90,Digital Evidence& Computer Crime,Eoghan Casey,ELSEVIER-Academic Press,Reference,3rd edition,,Computer,2012,Semester 5,Forensics and Cyber Applications,Pune University,Swamini Kulkarni
91,signals and systems,J.S.Chitode,technial publication,textbook,1st edition,508,Entc,2012,Semester 3,signals and systems,Pune University,Shraddha Babar
92,Digital Electronics,"A.P.Godse, D.A.Godse",technial publication,textbook,1st edition,395,Entc,2012,Semester 3,Digital Electronics,Pune University,Shraddha Babar
93,Network Theory,J.S.Katre,Techmax Publication,textbook,,525,Entc,2012,Semester 3,Network Theory,Pune University,Shraddha Babar
94,Data Structure and Algorithm,A.A.Puntambekar,technial publication,textbook,2nd revised edition,395,Entc,2012,Semester 3,Data Structure and Algorithm,Pune University,Shraddha Babar
95,Integrated Circuits,J.S.Katre,Techmax Publication,textbook,,465,Entc,2012,Semester 3,Integrated Circuits,Pune University,Shraddha Babar
96,Analog Communication,J.S.Katre,Techmax Publication,textbook,,495,Entc,2012,Semester 4,Analog Communication,Pune University,Shraddha Babar
97,Computer Organization,Sultania Dilip Kumar,Techmax Publication,textbook,,425,Entc,2012,Semester 4,Computer Organization,Pune University,Shraddha Babar
98,Control Systems,Theckedath Dhananjay,Techmax Publication,textbook,,595,Entc,2012,Semester 4,Control Systems,Pune University,Shraddha Babar
99,Analog Communication," A.P.Godse, U.A.Bakshi, J.S.Chitode",technical publications,textbook,1st edition,375,Entc,2012,Semester 4,Analog Communication,Pune University,Shraddha Babar
100,Computer Organization,"A.P.Godse, D.A.Godse",technical publications,textbook,1st edition,175,Entc,2012,Semester 4,Computer Organization,Pune University,Shraddha Babar
101,Control Systems," U.A.Bakshi,V.U.Bakshi",technical publications,textbook,1st edition,495,Entc,2012,Semester 4,Control Systems,Pune University,Shraddha Babar
102,Integrated Circuits,"U.A.Bakshi, A.P.Godse",technical publications,textbook,1st edition,350,Entc,2012,Semester 4,Integrated Circuits,Pune University,Shraddha Babar
103,Engineering Mathematics 3,,Nirali publications,textbook,,,Entc,2012,Semester 4,Engineering Mathematics 3,Pune University,Shraddha Babar
104,Digital Communication ,J.S.Katre,Techmax Publication,textbook,,395,Entc,2012,Semester 5,Digital Communication ,Pune University,Shraddha Babar
105,Digital Signal Processing,Barapate R. A.,Techmax Publication,textbook,,585,Entc,2012,Semester 5,Digital Signal Processing,Pune University,Shraddha Babar
106,Electromagnetics and Transmission Lines,Barapate R. A.,Techmax Publication,textbook,,495,Entc,2012,Semester 5,Electromagnetics and Transmission Lines,Pune University,Shraddha Babar 
107,System Programming and Operating System,Sultania Dilip Kumar,Techmax Publication,textbook,,395,Entc,2012,Semester 5,System Programming and Operating System,Pune University,Shraddha Babar
108,Microcontroller and Applications ,Shah U. S,Techmax Publication,textbook,,379,Entc,2012,Semester 5,Microcontroller and Applications techmax,Pune University,Shraddha Babar
109,Digital Communication ,J.S.Chitode,technical publication,textbook,1st edition,499,Entc,2012,Semester 5,Digital Communication ,Pune University,Shraddha Babar
110,Digital Signal Processing,J.S.Chitode,technical publication,textbook,1st edition,475,Entc,2012,Semester 5,Digital Signal Processing,Pune University,Shraddha Babar
111,Oil Well Drilling Technologies, Hussain Rabia,Graham & Trotman,Reference,7th edition,,Petroleum,2012,Semester 5,Drilling Operations,Pune University,Nimish Ronghe
112,Data Structures and Problem solving,Sultania Dilip Kumar,Techmax Publication,textbook,,535,Computer,2012,Semester 3,Data Structures and Problem solving,Pune University,Swamini kulkarni
113,Microprocessor Architecture,Shah Urvashi S,Techmax Publication,textbook,,425,Computer,2012,Semester 3,Microprocessor Architecture,Pune University,Swamini kulkarni
114,Operating System and Administration,Katre J. S.,Techmax Publication,textbook,,505,Computer,2012,Semester 3,Operating System and Administration,Pune University,Swamini kulkarni
115,Digital Electronics and Logic Design,Desai Sharmishta,Techmax Publication,textbook,,255,Computer,2012,Semester 3,Digital Electronics and Logic Design,Pune University,Swamini kulkarni
116,Discrete Structures,Sultania Dilip Kumar,Techmax Publication,textbook,,325,Computer,2012,Semester 3,Discrete Structures,Pune University,Swamini kulkarni
117,Object Oriented and Multi-Core Programming,Medhane Darshan,Techmax Publication,textbook,,435,Computer,2012,Semester 4,Object Oriented and Multi-Core Programming,Pune University,Swamini kulkarni
118,Microprocessors and Interfacing Techniques,Shah Urvashi S,Techmax Publication,textbook,,595,Computer,2012,Semester 4,Microprocessors and Interfacing Techniques,Pune University,Swamini kulkarni
119,Computer Graphics and Gaming,Pawale Sanjesh,Techmax Publication,textbook,,495,Computer,2012,Semester 4,Computer Graphics and Gaming,Pune University,Swamini kulkarni
120,Computer Organization,Sultania Dilip Kumar,Techmax Publication,textbook,,365,Computer,2012,Semester 4,Computer Organization,Pune University,Swamini kulkarni
121,Theory of Computation,Sultania Dilip Kumar,Techmax Publication,textbook,,385,Computer,2012,Semester 5,Theory of Computation,Pune University,Swamini kulkarni
122,Operating Systems Design,Ansari M. A.,Techmax Publication,textbook,,325,Computer,2012,Semester 5,Operating Systems Design,Pune University,Swamini kulkarni
123,Data Communication and Wireless Sensor Networks,Katre J. S.,Techmax Publication,textbook,,465,Computer,2012,Semester 5,Data Communication and Wireless Sensor Networks,Pune University,Swamini kulkarni
124,Forensic and Cyber Applications,Ansari M. A.,Techmax Publication,textbook,,275,Computer,2012,Semester 5,Forensic and Cyber Applications,Pune University,Swamini kulkarni
125,Discrete Structures,"Dr. Latha K Iyer, Dr. Neeta D. Kankane",technical publication,textbook,,380,Computer,2012,Semester 3,Discrete Structures,Pune University,Swamini kulkarni
126,Data Structures and Problem solving,A.A.Puntambekar,technical publication,textbook,2nd Revised Edition,499,Computer,2012,Semester 3,Data Structures and Problem solving,Pune University,Swamini kulkarni
127,Digital Electronics and Logic Design,"A.P. Godse, D.A.Godse",technical publication,textbook,2nd Revised Edition,430,Computer,2012,Semester 3,Digital Electronics and Logic Design,Pune University,Swamini kulkarni
128,Microprocessor Architecture,"A.P.Godse, D.A.Godse",technical publication,textbook,2nd Revised Edition,,Computer,2012,Semester 4,Microprocessor Architecture,Pune University,Swamini kulkarni
129,Object Oriented And Multicore Programming,A.A.Puntambekar,technical publication,textbook,1st edition,315,Computer,2012,Semester 4,Object Oriented And Multicore Programming,Pune University,Swamini kulkarni
130,Microprocessors and Interfacing Techniques,"A.P.Godse, D.A.Godse",technical publication,textbook,1st edition,480,Computer,2012,Semester 4,Microprocessors and Interfacing Techniques,Pune University,Swamini kulkarni
131,Computer Graphics and Gaming,"A.P.Godse, D.A.Godse",technical publication,textbook,1st edition,399,Computer,2012,Semester 4,Computer Graphics and Gaming,Pune University,Swamini kulkarni
132,Computer Organization,"A.P.Godse, D.A.Godse",technial publication,textbook,1st edition,330,Computer,2012,Semester 4,Computer Organization,Pune University,Swamini kulkarni
133,Engineering Mathematics 3,Dr.Gokhale Dr. Mujumdar SS Kulkarni,Nirali publications,textbook,1st edition,500,Computer,2012,Semester 5,Engineering Mathematics 3,Pune University,Swamini kulkarni
134,Reservoir Engineering, Tiab and Donaldson,McGraw Hill Company,,4th edition,1199,Petroleum,2012,Semester 5,Petroleum Production Operation,Pune University,Nimish Ronghe
135,Petroleum Geology and Environment,,,H.O.D Notes,1st edition,769,Petroleum,2012,Semester 5,Petroleum Geology 1,Pune University,Nimish Ronghe
136,Mechanical Measurements,R.K.Jain,,Reference,,336,Production,2012,Semester 5,Metrology and Mechanical Measurements,Pune University,Karthikeyan
137,Industial Engineering and Production Management,Martand T. Telsang,S.Chand,Reference,2nd Edition,450,Production,2012,Semester 5,Industrial Engineering and Quality Assurance,Pune University,Karthikeyan
138,Manufacturing Technology(Vol-I),P.N.Rao,McGraw Hill Company,Reference,4th Edition,340,Production,2012,Semester 5,Material Forming,Pune University,Karthikeyan
139,Theory Of Machines,S.S.Ratan,McGraw Hill Company,Reference,3rd Edition,575,Production,2012,Semester 5,Kinematics Of Manudacturing Machines,Pune University,Karthikeyan
140,Fundamentals of Tool Engineering design,S.K.Basu,Oxford,Reference,,59,Production,2012,Semester 6,Cutting Tool Engineering,Pune University,Karthikeyan
141,Computer Aided Design and Manufacturing,Sadhu Singh,Khanna Publishers,Reference,,391,Production,2012,Semester 6,Numerical Techniques and Database,Pune University,Karthikeyan
142,Production And Operations Management,R.Panneerselvam,Prentice Hall India,Reference,3rd Edition,375,Production,2012,Semester 6,Production Management,Pune University,Karthikeyan
143,Let Us C,Yashwant Kanetkar,BPB Publication,Reference,13th Edition,240,Production,2012,Semester 6,Numerical Techniques and Database,Pune University,Karthikeyan
144,Production Technology,HMT,McGraw Hill Company,Reference,1st Edition,875,Production,2012,Semester 6,Production Technology,Pune University,Karthikeyan
145,Statistical Methods,S.P.Gupta,S.Chand,Reference,,415,Production,2012,Semester 6,Process Planning and Industrial Statistics,Pune University,Karthikeyan
146,Fluid Mechanics and Hydraulic Machines,R.K.Bansal,Laxmi Publications,Reference,9th Revised Edition,595,Production,2012,Semester 3,Heat and Fluid Engineering,Pune University,Karthikeyan
147,Strength of Materials,R.K.Rajput,S.Chand,Reference,,850,Production,2012,Semester 3,Strength Analysis of Materials,Pune University,Karthikeyan
148,Welding Technology,O.P.Khanna,Dhanpat Rai ,Reference,,295,Production,2012,Semester 3,Welding and Foundry,Pune University,Karthikeyan
149,numerical methods for engineers,S.K. Gupta,New Age International Publishers,Reference,2nd Edition,,polymer,2012,semester 5,Mathematical methods,Pune University,Nidhi
150,Theory of machines and mechanisms,Ballaney,Khpub,Reference,,350,Production,2012,Semester 3,Theory Of Machines,Pune University,Karthikeyan
151,Advanced Engineering Mathematics,Kreyszig F,John Wiley Eastern Ltd.,Reference,8th Edition,,Polymer,2012,Semester 5,Mathematical methods,Pune University,Nidhi
152,Polymer Chemistry- An Introduction,M. P. Stevens,Oxford University,Reference,2nd Edition,,Polymer,2012,semester 5/6,polymwe chemistry 1/2,Pune University,Nidhi
153,Principles of Polymerization,George Odian,John Wiley Eastern Ltd.,Reference,4th edition,,Polymer,2012,semester 5/6,Polymer Chemistry 1/2,Pune University,nidhi
154,Plastic Materials,J. A Brydson,Elsevier Publisher,Reference,7th Edition,,Polymer,2012,Semester 5/6,Polymer materials 1/2,Pune University,nidhi
155,Plastic Engineering handbook,S. L Rosen,John Wiley Publisher,Reference,2nd Edition,,Polymer,2012,Semester 5,Polymer materials 1,Pune University,nidhi
156,Electrical Technology,,,,,,,,,,,
157,"Polymer Structure, Properties and Applications",Rudolph. D. Deanin,"Plastic world, Cahners Publication",Reference,1972,,Polymer,2012,Semester 5,Polymer Structure & property relationship,Pune University,Nidhi
158,Introduction to Polymer Crystallization,Allan Sharples,St Martin's Press,Reference,1966,,Polymer,2012,Semester 5,Polymer Structure & property relationship,Pune University,Nidhi
159,Basic Civil and Environmental Engg,Londhe/Shastri/N.D.Chaudhari,Techmax Publication,Textbook,,325,First Year,2012,Semester 1,Basic Civil and Environmental Engg,Pune University,Geet Pradhan
160,Basic Electronics Engg,J.S Katre,Techmax Publication,Textbook,,370,First Year,2012,Semester 1/ Sem 2,Basic Electronics Engg,Pune University,Geet Pradhan
161,Basic Electrical Engg,J.S Katre,Techmax Publication,Textbook,,370,First Year,2012,Semester 1/ Sem2,Basic Electrical Engg,Pune University,Geet Pradhan
162,Engineering Graphics -I,Arunoday Kumar,Techmax Publication,Textbook,,485,First Year,2012,Semester 1,Engineering Graphics -I,Pune University,Geet Pradhan
163,Engineering Chemistry,V.K.Walekar,Techmax Publication,Textbook,,410,First Year,2012,Semester 1/Sem2,Engineering Chemistry,Pune University,Geet Pradhan
164,Engineering Physics,K.C.Nandi/S.N.Shukla,Techmax Publication,Textbook,,410,First Year,2012,Semester 1/Sem2,Engineering Physics,Pune University,Geet Pradhan
165,Engineering Mechanics,Sanju Unadkat,Techmax Publication,Textbook,,635,First Year,2012,Semester 2,Engineering Mechanics,Pune University,Geet Pradhan
166,Engineering Graphics -II,Arunoday Kumar,Techmax Publication,Textbook,,135,First Year,2012,Semester 2,Engineering Graphics -II,Pune University,Geet Pradhan
167,Fundamentals of Programming Languages-I,Sumit Khadelwal,Techmax Publication,Textbook,,295,First Year,2012,Semester 1,Fundamentals of Programming Languages-I,Pune University,Geet Pradhan
168,Fundamentals of Programming Languages-II,Kavita Sultanpure,Techmax Publication,Textbook,,300,First Year,2012,Semester 2,Fundamentals of Programming Languages-II,Pune University,Geet Pradhan
169,Basic Mechanical Engineering,B.R.Patil,Techmax Publication,Textbook,,365,First Year,2012,Semester 2,Basic Mechanical Engineering,Pune University,Geet Pradhan
170,Engineering Materials:Properties and Selection,K.G.Budinski,Prentice Hall India,Reference,9th Edition,650,Production,2012,Semester 4,Engineering Metallurgy,Pune University,Karthikeyan
171,Mass Transfer Operations,Treybal,McGraw Hill Company,Reference,3rd Edition,,Polymer,2012,Semester 5,Mass transfer and reaction engineering,Pune University,nidhi
172,Chemical Reaction Engineering,O. Levenspiel,John Wiley,Reference,3rd Edition,,Polymer,2012,Semester 5,Mass transfer and reaction engineering,Pune University,nidhi
